"","PG.ProteinGroups","PG.Genes","[1] HN1.raw.PG.MS2Channel1","[2] HN2.raw.PG.MS2Channel1","[3] HN3.raw.PG.MS2Channel1","[4] HN4.raw.PG.MS2Channel1","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"2504","P09651","HNRNPA1",3509.11792,2041.311035,2402.471924,2585.820313,NA,NA,35.01024628,NA,10.0427058673144,6.31393682397674,8.26238127038656,7.42354922208021e-05,0.000189709630479598,2.25431609434229,"UP"
"2505","P11586","MTHFD1",36500.43359,35502.22266,36555.45313,35526.42969,123.570282,NA,NA,NA,13.3962489810967,8.43832852152528,8.25131440767749,7.48768373236376e-05,0.000191272208396789,2.24577797721604,"UP"
"2506","Q8IZ07","ANKRD13A",9209.137695,7059.512695,7339.095703,7190.930176,NA,NA,NA,59.76817322,11.4207666704253,7.19169433968844,8.24960346196413,7.49765476085755e-05,0.000191450490082711,2.24445692030451,"UP"
"2507","Q12996","CSTF3",10030.87012,4215.020508,10134.2334,13100.69238,26.1152153,22.75771713,NA,NA,10.7467928364658,7.7062351757902,8.24308100149976,7.53580416435836e-05,0.000192271175628904,2.23941819264053,"UP"
"2508","Q8ND76","CCNY",16650.74023,14133.62402,14459.49805,16919.30273,11.98788357,NA,NA,65.50371552,11.4805427788097,8.17888576236238,8.24313435059502,7.53549124080891e-05,0.000192271175628904,2.23945942256985,"UP"
"2509","P54762","EPHB1",28555.63672,27098.71875,27781.10742,27095.22656,NA,13.87039566,20.88916397,116.7448654,10.9472912626839,9.28015473522694,8.20909445538415,7.73817324158255e-05,0.000197277173597158,2.21309612334388,"UP"
"2510","Q01082","SPTBN1",198007.4063,191690.1406,184201.3438,208573.4375,NA,79.91525269,NA,99.80464935,14.3277507169089,10.4123148946553,8.20954516239837,7.73544968994874e-05,0.000197277173597158,2.21344592410883,"UP"
"2511","P23443","RPS6KB1",4323.564941,5712.703125,5504.107422,5656.482422,289.3747253,597.9055176,915.3918457,268.3786011,3.53244504823268,10.5965397587926,8.19504364727749,7.82362599905851e-05,0.000199296905923469,2.20218113810918,"UP"
"2512","P41219","PRPH",38934.21484,42426.21875,48752.13672,51724.23047,140.8008575,NA,NA,NA,13.6763889944955,8.62512510891345,8.19525849670406,7.82231134793124e-05,0.000199296905923469,2.20234818302687,"UP"
"2513","P19086","GNAZ",90125.25781,89544.47656,76696.03125,86204.63281,1437.765503,5321.941406,6987.614258,7557.184082,4.25228301655152,14.2569511013743,8.18948797079594,7.85770771499164e-05,0.000200005853891136,2.19786004713426,"UP"
"2514","Q9H910","JPT2",3876.895996,7175.812988,4543.410645,4626.42334,34.3126297,11.26266098,NA,NA,10.074436086819,7.22679617512395,8.1899002841984,7.85517259189719e-05,0.000200005853891136,2.19818083962538,"UP"
"2515","Q14008","CKAP5",51961.19141,46947.45313,54625.22266,57879.52344,152.9086914,NA,NA,NA,13.8690325394844,8.75099899333769,8.18328841061785,7.89593760061513e-05,0.000200899024677281,2.19303459511602,"UP"
"2516","Q7Z7E8","UBE2Q1",2232.236572,2229.632813,2414.003174,2994.545166,159.1667023,16.80766296,36.38845825,14.69159603,6.0900679868285,8.21360849329451,8.17758597186512,7.93128762144347e-05,0.000201718241214693,2.18859275955123,"UP"
"2517","P60900","PSMA6",35127.88281,26991.16797,24912.38672,31435.13672,115.8245773,NA,NA,NA,13.1242982873901,8.27919914543559,8.17577704041257,7.94253871481513e-05,0.000201924136814072,2.18718305234849,"UP"
"2518","Q86V81","ALYREF",318.9867554,16776.4043,88385.19531,27618.17188,NA,NA,NA,NA,13.3852540423675,6.69262702118374,8.1722572826096,7.9644824367523e-05,0.000202401600924456,2.18443917294826,"UP"
"2519","Q4J6C6","PREPL",3506.406738,4909.85498,4163.215332,5230.458984,148.2897339,411.4656982,190.5292206,597.4799805,3.9245231893784,10.1414319365123,8.16750979913029,7.99418893932384e-05,0.000203075883377266,2.18073627830453,"UP"
"2520","Q15650","TRIP4",4015.243896,3696.608887,3729.928223,3504.692383,26.91749573,204.4201202,109.3545303,171.6753387,5.19033976591387,9.27103278394849,8.16613538690942,8.00281242505215e-05,0.000203214272650431,2.17966386545316,"UP"
"2521","P61224","RAP1B",173300.4063,207281.3438,163906.2656,169193.7344,NA,NA,35.80558395,171.9255829,14.2797866762866,10.2988584044322,8.16099571882849,8.03515356118108e-05,0.000203954572145965,2.17565189315729,"UP"
"2522","P62195","PSMC5",12136.71777,12259.08887,12129.74023,11974.97461,NA,57.26338577,13.26763439,NA,11.1409837269721,7.99528983421997,8.16007038508408,8.04099185679756e-05,0.000204021835414939,2.17492931165038,"UP"
"2523","P43121","MCAM",4787.038574,4457.841309,3523.964355,4975.265137,575.4528809,1261.981079,919.0900269,609.1596069,2.4598906299927,10.8730328830461,8.15590028230783,8.0673622228821e-05,0.000204609793357997,2.17167188723336,"UP"
"2524","Q92187","ST8SIA4",1066.493042,3090.316895,1897.087646,1198.002563,NA,26.685215,NA,NA,9.49523072327114,5.94537631678376,8.15451362243561,8.0761526444135e-05,0.000204751587843114,2.1705883364191,"UP"
"2525","Q8WVM8","SCFD1",8543.352539,8687.914063,8664.883789,11007.11133,NA,NA,NA,68.08095551,11.6357275027503,7.34541778459486,8.15239387347304,8.08961124618337e-05,0.000205011573720109,2.16893157667771,"UP"
"2526","P14618","PKM",1256065,1430455.5,1183084.5,1540112.25,NA,NA,140.6061707,255.5295868,16.5721328035315,12.0732468373568,8.14532676010156,8.13466481947357e-05,0.000206071734678588,2.16340484840707,"UP"
"2527","O95807","TMEM50A",18894.99609,17484.22656,18862.59961,17824.83203,NA,NA,NA,95.16551208,12.5092983277214,7.90151108553035,8.14005263461898,8.16847267177827e-05,0.000206846286611433,2.1592770957561,"UP"
"2528","P61163","ACTR1A",68588.72656,79435.32813,70969.5,73900.33594,NA,NA,183.5305786,NA,14.2759361948925,9.01989712123667,8.13774973753341,8.18328432115401e-05,0.000207139384379211,2.15747389214676,"UP"
"2529","O94979","SEC31A",11778.3877,11046.55762,12299.64844,13623.38867,NA,NA,78.60845184,NA,11.9902294223253,7.57382713648489,8.1346254880935,8.203427233855e-05,0.000207485102250744,2.15502672151555,"UP"
